,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
20,Gatineau,30.68,61.37,11.76,7.16,8.85,3.88,2.11,1.85,2.46,3.35,5.34,3.55,11.27,8.83,11.62,4.53,1.73,3.64,7.40,2.21,2.87,2.00,1.63,12.27,4.72,0.00,12.36,4.08,102.27,4.22,1.79,30.68,1.93,26883.95,20714.84,121.69,0.51,65.21,58.04,20.45,12.27,620.49,12273.44,55.52,37.26,103.98,118.64,1282.32,1061.14,1718.28,1544.41,5113.94,3357.80,3246.06,6.09,1,45.4833,-75.65,Quebec,291041
21,Windsor,20.45,81.82,12.27,5.88,6.90,4.89,2.15,1.78,1.99,2.32,2.84,3.52,14.74,11.54,12.25,4.46,1.44,5.04,3.27,2.33,2.37,2.91,2.36,19.43,3.06,3.96,14.46,3.33,133.40,3.93,2.54,34.78,1.81,28126.64,27419.88,206.02,0.29,83.34,53.92,24.88,13.29,528.44,3780.22,69.41,47.68,111.15,117.62,1403.49,1382.69,2244.45,2096.72,6418.52,2752.30,4111.03,9.33,1,42.2833,-83,Ontario,229660
22,Saskatoon,20.45,76.71,12.27,7.16,8.69,4.54,2.98,2.28,2.54,2.64,4.21,4.40,14.19,15.04,15.08,4.35,1.99,4.29,3.97,2.64,2.40,3.44,2.73,15.35,4.11,4.86,17.90,3.06,84.90,4.08,2.00,30.68,1.86,28638.02,28044.82,290.38,0.35,75.43,52.87,18.41,16.37,783.29,10892.67,66.47,57.85,114.77,150.86,1227.34,978.25,1872.98,1735.09,3302.75,4403.68,4471.03,6.43,1,52.1333,-106.6833,Saskatchewan,266141
23,Burnaby,17.39,81.82,12.27,6.14,8.18,4.39,2.30,1.61,2.01,2.95,2.70,3.64,14.90,11.80,16.71,4.76,2.08,4.17,6.31,4.49,5.23,2.15,1.49,15.35,3.45,3.84,15.35,3.20,137.05,3.57,1.97,35.25,2.32,29660.81,23255.61,137.39,0.26,87.67,40.92,20.45,15.35,1273.37,11966.60,65.59,47.31,107.10,104.84,2147.85,2004.66,4557.88,3034.26,9357.81,9357.81,4775.66,10.21,1,49.2667,-122.9667,British Columbia,249125
24,Regina,16.88,81.82,13.29,7.16,8.18,4.42,2.99,2.30,2.07,2.61,2.91,4.10,12.97,15.14,16.39,4.22,1.63,5.05,3.46,3.31,3.04,2.94,1.71,16.88,3.01,2.55,18.20,3.33,90.00,4.61,2.97,30.68,1.95,30683.60,31164.31,242.48,0.12,83.09,51.39,16.62,13.81,818.23,0.00,72.88,41.94,101.00,126.57,980.17,958.87,1779.65,1493.27,2752.30,2669.72,5136.80,7.20,1,50.4547,-104.6067,Saskatchewan,226404
25,Richmond,20.45,81.82,12.27,7.67,8.18,5.96,2.73,2.00,2.83,3.28,4.91,4.55,19.72,12.92,25.81,4.89,1.74,5.11,7.56,5.01,6.36,2.80,1.88,18.41,2.55,3.57,0.00,3.22,102.53,0.00,0.00,12.27,2.26,25058.27,33411.03,204.99,0.66,73.31,50.88,13.63,15.35,1431.90,9659.66,44.33,53.86,98.86,134.19,1948.41,2079.66,5267.35,3579.75,13211.02,10733.96,5162.51,7.73,1,49.1667,-123.1333,British Columbia,209937
26,Oakville,21.47,86.94,14.32,7.16,11.76,4.51,2.69,2.84,2.58,3.20,2.87,4.61,14.59,14.82,12.54,5.34,2.55,6.24,6.53,3.51,2.65,3.30,3.70,15.35,3.37,3.55,15.35,4.08,147.80,4.47,2.57,30.68,1.89,27356.98,26303.15,210.67,0.46,80.41,55.81,19.36,15.35,2011.47,23524.09,62.49,86.60,113.99,192.58,2011.47,1875.10,3477.48,3341.10,0.00,8543.12,4904.99,9.19,1,43.45,-79.6833,Ontario,213759
27,Burlington,23.02,92.05,11.92,7.16,8.18,4.25,2.30,2.07,2.87,3.13,3.15,3.82,21.43,11.48,20.62,4.22,1.77,4.84,7.67,1.68,2.28,2.62,3.57,16.37,2.95,4.50,17.39,3.57,70.57,3.57,3.27,30.68,2.03,29660.81,27887.98,145.23,0.23,75.31,46.53,17.90,15.84,1619.07,23012.70,62.04,46.02,116.76,164.41,2133.25,1858.06,3272.92,2838.23,10252.30,9889.92,6121.38,8.57,1,43.3167,-79.8,Ontario,186948
28,Barrie,20.45,81.82,13.29,6.65,7.41,4.60,2.69,2.33,2.70,3.06,3.35,4.42,11.43,17.43,25.38,5.22,2.66,4.13,6.56,4.25,5.33,3.74,0.77,15.35,2.48,3.41,16.37,3.33,106.37,3.33,2.55,30.68,1.92,25569.66,31039.53,251.30,0.61,91.29,49.86,25.57,13.29,1329.62,0.00,71.59,50.69,95.45,141.15,1898.55,1700.38,2710.39,2693.33,16513.77,13211.02,4602.53,9.58,1,44.3711,-79.6769,Ontario,147829
29,Oshawa,23.02,87.85,12.27,5.12,6.65,4.35,1.90,1.61,4.31,2.79,4.50,3.59,20.45,16.88,13.29,4.02,1.77,5.45,3.66,6.29,5.63,3.01,2.22,15.35,3.85,6.65,15.35,3.71,122.74,4.08,4.08,30.68,1.99,25569.66,33496.26,211.77,0.44,85.41,63.07,40.92,13.81,1176.20,0.00,56.25,65.21,147.03,117.62,1679.07,1431.90,2582.53,2761.52,0.00,0.00,7159.51,10.07,1,43.9,-78.85,Ontario,175383
